date,ticker,model,actual,predicted,pred_lower,pred_upper,mae,rmse,mape,directional_accuracy,interval_coverage
2023-01-03,AAPL,lstm,125.06999969482422,45.66685485839844,-81.4562759399414,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-04,AAPL,lstm,126.36000061035156,45.666839599609375,-81.45629119873047,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-05,AAPL,lstm,125.0199966430664,45.66685485839844,-81.4562759399414,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-06,AAPL,lstm,129.6199951171875,45.66685104370117,-81.45628356933594,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-09,AAPL,lstm,130.14999389648438,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-10,AAPL,lstm,130.72999572753906,45.6668586730957,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-11,AAPL,lstm,133.49000549316406,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-12,AAPL,lstm,133.41000366210938,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-13,AAPL,lstm,134.75999450683594,45.6668586730957,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-17,AAPL,lstm,135.94000244140625,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-18,AAPL,lstm,135.2100067138672,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-19,AAPL,lstm,135.27000427246094,45.66685485839844,-81.4562759399414,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-20,AAPL,lstm,137.8699951171875,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-23,AAPL,lstm,141.11000061035156,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-24,AAPL,lstm,142.52999877929688,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-25,AAPL,lstm,141.86000061035156,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-26,AAPL,lstm,143.9600067138672,45.6668586730957,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-27,AAPL,lstm,145.92999267578125,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-30,AAPL,lstm,143.0,45.66686248779297,-81.45626831054688,172.7899932861328,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
2023-01-31,AAPL,lstm,144.2899932861328,45.66685485839844,-81.4562759399414,172.78997802734375,126.88213841247558,128.05570009134263,0.7324017954531838,0.2891566265060241,0.408
