ticker,model,cumulative_return,sharpe_ratio,max_drawdown
AAPL,lstm,0.20068492902440016,2.0275810370913683,-0.026170441487192882
AAPL,gru,0.11634004921981567,0.9516930830502429,-0.08879566482389788
AAPL,transformer,0.30427917270544436,1.7613109372397764,-0.11514878219514518
AAPL,ensemble,0.30427917270544436,1.7613109372397764,-0.11514878219514518
AAPL,buy_and_hold,0.5393779423449057,2.1938687049701233,-0.15047084763448365
MSFT,lstm,0.2734326044191395,2.3000426834607737,-0.050538515958626656
MSFT,gru,0.12388488619507387,0.9746928160877363,-0.10246171690720753
MSFT,transformer,0.398974559277814,1.9974649891228524,-0.0715227470494387
MSFT,ensemble,0.398974559277814,1.9974649891228524,-0.0715227470494387
MSFT,buy_and_hold,0.569580122176033,1.8656261696975058,-0.13171430880472335
NVDA,lstm,0.9315556072650162,1.8274772656728597,-0.14791412970324336
NVDA,gru,1.2876462007259097,2.267318280292295,-0.10994469528025178
NVDA,transformer,0.4012093997108739,1.0015635532916418,-0.2859671408741762
NVDA,ensemble,0.4260420569043144,1.0690696645344095,-0.27313687365508865
NVDA,buy_and_hold,2.45944818796878,2.793356622112901,-0.18293991312646168
TSLA,lstm,0.3726612483687708,1.2835125143141404,-0.2009096507102897
TSLA,gru,1.5330088074777826,2.5795803305414258,-0.18922177146522656
TSLA,transformer,0.6122782398585964,1.3203423304011523,-0.34100932539355067
TSLA,ensemble,0.6122782398585964,1.3203423304011523,-0.34100932539355067
TSLA,buy_and_hold,1.2986123888523875,1.8289154653280277,-0.3271970986765211
SPY,lstm,-0.015329573927724272,-0.9812879042642134,-0.05434433033585696
SPY,gru,0.05579590546928603,0.9545223295155382,-0.017046497325513884
SPY,transformer,0.20336680087953196,1.8152945879556768,-0.054774931643374394
SPY,ensemble,0.20336680087953196,1.8152945879556768,-0.054774931643374394
SPY,buy_and_hold,0.24812244214345625,1.6169176913669023,-0.10290747938968654
